channel_1,channel_2
-0.48672232,-0.36481944
-0.4436755,-0.34490222
-0.48672232,-0.36000073
-0.50696075,-0.3532546
-0.44785166,-0.36835313
-0.5519351,-0.38409415
-0.45395532,-0.39308897
-0.54808015,-0.38859156
-0.5021421,-0.4033688
-0.49957213,-0.4033688
-0.55771744,-0.3754205
-0.48543733,-0.4146124
-0.58952075,-0.38216665
-0.47194505,-0.40626004
-0.5651061,-0.40079886
-0.5188468,-0.3802392
-0.52045304,-0.41589737
-0.58598703,-0.38313037
-0.48575857,-0.4216798
-0.61104417,-0.3998351
-0.5095307,-0.40465382
-0.5834171,-0.39501646
-0.54004896,-0.38730657
-0.50406957,-0.42521352
-0.5689611,-0.36385566
-0.48061866,-0.3898765
-0.57217354,-0.3767055
-0.50182086,-0.38313037
-0.57217354,-0.39244652
-0.5519351,-0.3946952
-0.53073287,-0.43517208
-0.5856658,-0.40658125
-0.5117794,-0.43613583
-0.58952075,-0.40112013
-0.5137069,-0.42103732
-0.54808015,-0.41204244
-0.54583144,-0.37413552
-0.50824577,-0.41429117
-0.5702461,-0.37991795
-0.49957213,-0.43324462
-0.5625362,-0.4033688
-0.5188468,-0.41589737
-0.5076033,-0.41653988
-0.5326604,-0.3696381
-0.4651989,-0.43195966
-0.5233443,-0.35229087
-0.460059,-0.40754503
-0.47194505,-0.39276773
-0.48607984,-0.34939966
-0.44849417,-0.39822888
-0.49121976,-0.3375136
-0.44560295,-0.37381425
-0.45299158,-0.3580733
-0.44753042,-0.361607
-0.44335425,-0.35871574
-0.4411055,-0.36867434
-0.4452817,-0.37188682
-0.4208671,-0.36224943
-0.4160484,-0.37349305
-0.44303298,-0.31149274
-0.38649386,-0.34361723
-0.4218308,-0.30185536
-0.38135394,-0.3086015
-0.37364402,-0.3041041
-0.39067003,-0.28354442
-0.3598305,-0.33462238
-0.38713634,-0.28836307
-0.38167518,-0.32241505
-0.3704316,-0.30956528
